Step,OptionPrice
1,7.499999999999996
2,8.999999999999986
3,9.97499999999998
4,11.285624999999971
5,11.812687499999972
6,13.058015624999951
7,13.328779687499956
8,14.551099863281195
9,14.642094544921822
10,15.86038104029291
11,15.900483504799737
12,17.036285694621466
13,17.175232152651834
14,18.109385735478135
15,18.33600480365084
16,19.099916274713454
17,19.4052299689571
18,20.02211513934693
19,20.398786646814553
20,20.886463697265174
21,21.3283956769058
22,21.700951739657924
23,22.202998195521385
24,22.471841124713904
25,23.02959901747904
26,23.204151771860822
27,23.813807999837753
28,23.901984400089603
29,24.56020152973569
30,24.568742509527173
31,25.272572013292567
32,25.330174115027898
33,25.954104970384655
34,26.073252892658807
35,26.60750781631583
36,26.78497589337706
37,27.235105499015674
38,27.467938242324095
39,27.838912843707586
40,28.124394835887234
41,28.420690177777097
42,28.75631956064703
43,28.981986725934853
44,29.365451989216858
45,29.524174908349273
46,29.953334618242256
47,30.04847776899951
48,30.521342871564997
49,30.555991144904908
50,31.070709503670912
51,31.091160832219572
52,31.60254462188403
53,31.672225429005458
54,32.11785224626621
55,32.23498616269383
56,32.61754410805111
57,32.78044493578983
58,33.10245122663421
59,33.309517391642274
60,33.573333685243234
61,33.823042926647105
62,34.03088893507315
63,34.321793274341246
64,34.47575888892542
65,34.806479899102435
66,34.90853601259978
67,35.27776039247732
68,35.32976858139121
69,35.73624402974397
70,35.73996523711011
71,36.18249661608255
72,36.22087873307461
73,36.61704472909989
74,36.6959600473556
75,37.04037944621612
76,37.15870055377913
77,37.45295963064652
78,37.60959815805505
79,37.85521483768069
80,38.04912004639844
81,38.24754789311718
82,38.47770525391589
83,38.630337187618935
84,38.89576696781049
85,39.00393872407217
86,39.30369459738917
87,39.3686879494892
88,39.70185563850853
89,39.72490139837914
90,40.0905973563982
91,40.10647079362968
92,40.470248307646145
93,40.521743612254824
94,40.84111971943386
95,40.92741256761984
96,41.20350674179998
97,41.32379380274695
98,41.557689586726895
99,41.71118813609294
100,41.903934566138844
